home_team,total,wins,draws,lossess,total_goals,against_goals,cleansheets,goals_per_game,against_goals_per_game,cleansheets_prop
Manchester United,456,290,89,77,867.0,386.0,206,1.9013157894736843,0.8464912280701754,0.4517543859649123
Chelsea,456,276,101,79,859.0,407.0,198,1.8837719298245614,0.8925438596491229,0.4342105263157895
Manchester City,456,256,93,107,866.0,470.0,175,1.8991228070175439,1.030701754385965,0.38377192982456143
Arsenal,456,255,107,94,861.0,481.0,171,1.888157894736842,1.0548245614035088,0.375
Liverpool,456,234,119,103,817.0,472.0,181,1.7916666666666667,1.0350877192982457,0.3969298245614035
Tottenham Hotspur,456,228,112,116,764.0,535.0,141,1.6754385964912282,1.1732456140350878,0.3092105263157895
Everton,456,185,141,130,652.0,526.0,146,1.4298245614035088,1.1535087719298245,0.3201754385964912
West Ham United,418,127,110,181,498.0,624.0,105,1.1913875598086126,1.492822966507177,0.2511961722488038
Newcastle United,380,116,93,171,446.0,581.0,87,1.1736842105263159,1.5289473684210526,0.22894736842105262
Stoke City,380,116,109,155,398.0,525.0,101,1.0473684210526315,1.381578947368421,0.2657894736842105
Aston Villa,380,113,117,150,449.0,554.0,96,1.181578947368421,1.4578947368421054,0.25263157894736843
Sunderland,380,95,104,181,398.0,569.0,96,1.0473684210526315,1.4973684210526317,0.25263157894736843
West Bromwich Albion,342,93,95,154,379.0,512.0,78,1.108187134502924,1.4970760233918128,0.22807017543859648
Fulham,304,87,89,128,341.0,439.0,79,1.1217105263157894,1.444078947368421,0.2598684210526316
Swansea City,266,82,66,118,306.0,383.0,71,1.150375939849624,1.4398496240601504,0.2669172932330827
Southampton,228,79,65,84,294.0,284.0,71,1.2894736842105263,1.2456140350877194,0.31140350877192985
Blackburn Rovers,228,72,59,97,277.0,354.0,50,1.2149122807017543,1.5526315789473684,0.21929824561403508
Wigan Athletic,266,70,70,126,271.0,430.0,63,1.018796992481203,1.6165413533834587,0.23684210526315788
Bolton Wanderers,228,68,51,109,264.0,359.0,44,1.1578947368421053,1.5745614035087718,0.19298245614035087
Crystal Palace,190,60,40,90,214.0,268.0,43,1.1263157894736842,1.4105263157894736,0.22631578947368422
Leicester City,152,58,39,55,218.0,214.0,43,1.4342105263157894,1.4078947368421053,0.28289473684210525
Portsmouth,152,47,39,66,165.0,205.0,43,1.0855263157894737,1.3486842105263157,0.28289473684210525
Hull City,190,41,48,101,181.0,323.0,38,0.9526315789473684,1.7,0.2
Burnley,152,40,37,75,145.0,229.0,35,0.9539473684210527,1.506578947368421,0.23026315789473684
Watford,152,39,37,76,153.0,241.0,36,1.006578947368421,1.5855263157894737,0.23684210526315788
Norwich City,152,39,41,72,160.0,253.0,30,1.0526315789473684,1.6644736842105263,0.19736842105263158
Middlesbrough,152,34,46,72,142.0,212.0,35,0.9342105263157895,1.394736842105263,0.23026315789473684
AFC Bournemouth,114,34,30,50,145.0,195.0,23,1.2719298245614035,1.7105263157894737,0.20175438596491227
Reading,114,32,23,59,136.0,186.0,26,1.1929824561403508,1.631578947368421,0.22807017543859648
Birmingham City,114,29,37,48,121.0,167.0,23,1.0614035087719298,1.4649122807017543,0.20175438596491227
Wolverhampton Wanderers,114,25,28,61,118.0,204.0,17,1.0350877192982457,1.7894736842105263,0.14912280701754385
Queens Park Rangers,114,22,26,66,115.0,199.0,20,1.0087719298245614,1.7456140350877194,0.17543859649122806
Sheffield United,38,10,8,20,32.0,55.0,9,0.8421052631578947,1.4473684210526316,0.23684210526315788
Blackpool,38,10,9,19,55.0,78.0,6,1.4473684210526316,2.0526315789473686,0.15789473684210525
Brighton and Hove Albion,38,9,13,16,34.0,54.0,10,0.8947368421052632,1.4210526315789473,0.2631578947368421
Huddersfield Town,38,9,10,19,28.0,58.0,10,0.7368421052631579,1.5263157894736843,0.2631578947368421
Charlton Athletic,38,8,10,20,34.0,60.0,11,0.8947368421052632,1.5789473684210527,0.2894736842105263
Cardiff City,38,7,9,22,32.0,74.0,7,0.8421052631578947,1.9473684210526316,0.18421052631578946
Derby County,38,1,8,29,20.0,89.0,3,0.5263157894736842,2.3421052631578947,0.07894736842105263
